,[run number],sidewalk_width,pedestrian_flow,disabled-proportion,bus_stop_type,second,average_speed,density,mean_delay,mean_delay_disabled,mean_delay_non_disabled,total_conflict_incidents,mean_conflict_disabled,mean_conflict_non_disabled
17,21,4,500,0.05,backing footway,180,0.30728918899999996,0.15,3.2408255660000003,2.668697623,3.318843013,133,7.333333333,5.045454545
18,1,4,500,0.05,bus flag,180,0.43468221100000004,0.175,7.594613365,1.349391029,8.531396715,224,9.333333332999999,9.8
19,22,4,500,0.05,backing footway,180,0.7620866390000001,0.11666666699999999,2.8890342589999998,1.30600663,2.952355365,137,8.0,5.16
20,23,4,500,0.05,backing footway,180,0.43386683600000003,0.15,4.687431996,7.69298132,4.212871576,87,8.333333332999999,3.263157895
21,25,4,500,0.05,backing footway,180,0.324666757,0.066666667,2.601874352,1.624210374,2.8191330139999997,157,5.333333333,4.62962963
22,26,4,500,0.05,backing footway,180,0.427062379,0.11666666699999999,2.239424103,1.535593147,2.335401051,102,6.0,3.8181818180000002
23,24,4,500,0.05,backing footway,180,0.453449481,0.091666667,2.98380981,3.170083445,2.9645401239999996,207,11.66666667,5.9310344829999995
24,11,4,500,0.05,backing road,180,0.23427188699999998,0.291666667,12.78217305,4.251697903999999,13.3508714,196,7.0,12.6
25,27,4,500,0.05,backing footway,180,0.5244082520000001,0.066666667,4.507740952,4.9029431510000006,4.392473644,190,6.857142857,5.916666667
26,30,4,500,0.05,backing footway,180,0.764684767,0.075,2.592829703,0.988629199,2.846124519,81,2.0,3.947368421
27,28,4,500,0.05,backing footway,180,0.408350812,0.108333333,3.6179656330000003,3.550830815,3.628707204,183,9.75,5.76
28,14,4,500,0.05,backing road,180,0.144227164,0.308333333,13.8730117,6.304061279,14.95429033,76,21.0,7.857142857
29,32,4,500,0.05,backing building,180,0.9662439629999999,0.075,2.438779307,2.15643206,2.4971959790000002,226,7.833333333,6.172413793
30,31,4,500,0.05,backing building,180,0.6087540029999999,0.083333333,3.151607453,7.20618141,2.881302523,219,7.0,6.833333333
31,29,4,500,0.05,backing footway,180,0.5471275560000001,0.083333333,4.567250354,3.576617593,4.70876932,197,6.25,6.142857143
32,33,4,500,0.05,backing building,180,0.716796135,0.1,4.234833951000001,1.8577094769999998,4.995513783,235,6.5,7.32
33,34,4,500,0.05,backing building,180,0.924543357,0.05,2.2919440580000003,1.947291035,2.371479371,175,6.5,5.230769231
34,35,4,500,0.05,backing building,180,0.603109453,0.075,2.68002938,3.2655992169999997,2.440478084,225,9.222222222000001,6.454545455
